,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr001870480-2011073133259_llc.fits,0.18033478346881426,0.3823385573133078,./Plots/kplr001870480-2011073133259_llc.png,KIC 1870480,0,0.003386069459213361,#009999,#fbe723,#60ca60,#1f77b4
kplr003327993-2011073133259_llc.fits,-0.3048742106304141,1.4916218338796685,./Plots/kplr003327993-2011073133259_llc.png,KIC 3327993,0,0.001553318942123886,#009999,#fde725,#b0dd2f,#1f77b4
kplr009662496-2011073133259_llc.fits,-0.27828976246752424,-0.6433462470308338,./Plots/kplr009662496-2011073133259_llc.png,KIC 9662496,0,0.0030700930457738937,#009999,#fbe723,#69cd5b,#1f77b4
kplr008758134-2011073133259_llc.fits,-0.39407826917720773,1.0032747877027786,./Plots/kplr008758134-2011073133259_llc.png,KIC 8758134,0,0.0017619222361391165,#009999,#fde725,#a2da37,#1f77b4
kplr008839656-2011073133259_llc.fits,-0.10632376354632826,1.0962258128613591,./Plots/kplr008839656-2011073133259_llc.png,KIC 8839656,0,0.0014390566405619773,#009999,#fde725,#b8de29,#1f77b4
kplr007347300-2011073133259_llc.fits,-0.43610342954609155,2.8358650164234382,./Plots/kplr007347300-2011073133259_llc.png,KIC 7347300,0,0.0023465618921517653,#009999,#fbe723,#84d44b,#1f77b4
kplr004567182-2011073133259_llc.fits,0.0002498210300318248,-1.8307065818985284,./Plots/kplr004567182-2011073133259_llc.png,KIC 4567182,0,0.003400422147875127,#009999,#fbe723,#60ca60,#1f77b4
kplr005435747-2011073133259_llc.fits,-0.37163294849833783,-0.5701932150755651,./Plots/kplr005435747-2011073133259_llc.png,KIC 5435747,0,0.002906351946027278,#009999,#fbe723,#6ece58,#1f77b4
kplr007100931-2011073133259_llc.fits,-0.400436387786203,1.2296634107294069,./Plots/kplr007100931-2011073133259_llc.png,KIC 7100931,0,0.0012088342614897682,#009999,#fde725,#cae11f,#1f77b4
kplr007592079-2011073133259_llc.fits,-0.284850920501752,0.15668061855274165,./Plots/kplr007592079-2011073133259_llc.png,KIC 7592079,0,0.0023173855380033415,#009999,#fbe723,#86d549,#1f77b4
kplr007440144-2011073133259_llc.fits,0.04338862235428201,-2.2277529719954723,./Plots/kplr007440144-2011073133259_llc.png,KIC 7440144,0,0.0025866480385412453,#009999,#fbe723,#7ad151,#1f77b4
kplr004283523-2011073133259_llc.fits,-0.2948104478052484,-1.82895392604872,./Plots/kplr004283523-2011073133259_llc.png,KIC 4283523,0,0.004707163727894701,#009999,#f8e621,#44bf70,#1f77b4
kplr003958424-2011073133259_llc.fits,-0.22654570130152396,-2.3500088672179866,./Plots/kplr003958424-2011073133259_llc.png,KIC 3958424,0,0.004577119025426608,#009999,#f8e621,#48c16e,#1f77b4
kplr012555972-2011073133259_llc.fits,-0.38219330868555723,-0.5874702779991441,./Plots/kplr012555972-2011073133259_llc.png,KIC 12555972,0,0.002586687369222407,#009999,#fbe723,#7ad151,#1f77b4
kplr007450677-2011073133259_llc.fits,-0.43499657202924347,1.0680950558484825,./Plots/kplr007450677-2011073133259_llc.png,KIC 7450677,0,0.0012620335441728243,#009999,#fde725,#c8e020,#1f77b4
kplr005396936-2011073133259_llc.fits,-0.36367265244094726,-1.2066296683439601,./Plots/kplr005396936-2011073133259_llc.png,KIC 5396936,0,0.003662085349889549,#009999,#f8e621,#5ac864,#1f77b4
kplr008388920-2011073133259_llc.fits,0.2443686125080737,-2.2712275997695834,./Plots/kplr008388920-2011073133259_llc.png,KIC 8388920,0,0.0036698037363455415,#009999,#f8e621,#5ac864,#1f77b4
kplr006226695-2011073133259_llc.fits,-0.5107127320291648,2.6507763185347826,./Plots/kplr006226695-2011073133259_llc.png,KIC 6226695,0,0.0015955790047252679,#009999,#fde725,#addc30,#1f77b4
kplr006221526-2011073133259_llc.fits,-0.27139885288347626,1.4232403676257148,./Plots/kplr006221526-2011073133259_llc.png,KIC 6221526,0,0.0013609379994610454,#009999,#fde725,#c0df25,#1f77b4
kplr005728283-2011073133259_llc.fits,1.5499191628602118,11.607737069179924,./Plots/kplr005728283-2011073133259_llc.png,KIC 5728283,-1,0.04941228617851047,#333366,#a8db34,#32658e,#1f77b4
